Season,Nation,Name,Number,Position,PremierLeagueApps,PremierLeagueGoals,FaCupApps,UEFACupApps,FaCupGoals,UEFACupGoals,LeagueCupApps,LeagueCupGoals,ChampionsLeagueApps,ChampionsLeagueGoals,EuropaLeagueApps,EuropaLeagueGoals,Born,PremierLeagueSubs,AgeAugust,Age,ExtraM,ExtraD
2018-19,England,Robert Green,31,GK,0,0.0,0,,0.0,,0,0.0,,,0.0,0.0,1980-01-18,0,2018-08-01,38.0,6.0,14.0
2018-19,Brazil,David Luiz,30,DF,36,3.0,2,,0.0,,5,0.0,,,6.0,0.0,1987-04-22,0,2018-08-01,31.0,3.0,10.0
2018-19,Spain,César Azpilicueta,28,DF,38,1.0,3,,0.0,,6,0.0,,,9.0,0.0,1989-08-28,0,2018-08-01,28.0,11.0,4.0
2018-19,Denmark,Andreas Christensen,27,DF,6,0.0,2,,0.0,,4,0.0,,,15.0,0.0,1996-04-10,2,2018-08-01,22.0,3.0,22.0
2018-19,England,Gary Cahill,24,DF,0,0.0,0,,0.0,,2,0.0,,,4.0,0.0,1985-12-19,2,2018-08-01,32.0,7.0,13.0
2018-19,Spain,Álvaro Morata,29,FW,11,5.0,1,,2.0,,2,0.0,,,4.0,2.0,1992-10-23,5,2018-08-01,25.0,9.0,9.0
2018-19,Brazil,Willian,22,MF,26,3.0,2,,2.0,,6,0.0,,,15.0,3.0,1988-08-09,6,2018-08-01,29.0,11.0,23.0
2018-19,England,Callum Hudson-Odoi,20,MF,4,0.0,2,,1.0,,2,0.0,,,9.0,4.0,2000-11-07,6,2018-08-01,17.0,8.0,25.0
2018-19,Croatia,Mateo Kovačić,17,MF,21,0.0,2,,0.0,,5,0.0,,,12.0,0.0,1994-05-06,11,2018-08-01,24.0,2.0,26.0
2018-19,Argentina,Willy Caballero,13,GK,2,0.0,2,,0.0,,2,0.0,,,2.0,0.0,1981-09-28,0,2018-08-01,36.0,10.0,4.0
2018-19,England,Ruben Loftus-Cheek,12,MF,6,6.0,2,,0.0,,3,0.0,,,11.0,4.0,1996-01-23,18,2018-08-01,22.0,6.0,9.0
2018-19,Spain,Pedro,11,MF,21,8.0,1,,0.0,,5,0.0,,,14.0,5.0,1987-07-28,10,2018-08-01,31.0,0.0,4.0
2018-19,Belgium,Eden Hazard,10,MF,32,16.0,2,,0.0,,5,3.0,,,8.0,2.0,1991-01-07,5,2018-08-01,27.0,6.0,25.0
2018-19,Argentina,Gonzalo Higuaín,9,FW,13,5.0,2,,0.0,,1,0.0,,,1.0,0.0,1987-12-10,1,2018-08-01,30.0,7.0,22.0
2018-19,England,Ross Barkley,8,MF,13,3.0,3,,0.0,,5,0.0,,,12.0,2.0,1993-12-05,14,2018-08-01,24.0,7.0,27.0
2018-19,France,N'Golo Kanté,7,MF,36,4.0,2,,0.0,,5,1.0,,,10.0,0.0,1991-03-29,0,2018-08-01,27.0,4.0,3.0
2018-19,England,Danny Drinkwater,6,MF,0,0.0,0,,0.0,,0,0.0,,,0.0,0.0,1990-03-05,0,2018-08-01,28.0,4.0,27.0
2018-19,Italy,Jorginho,5,MF,37,2.0,2,,0.0,,3,0.0,,,11.0,0.0,1991-12-20,0,2018-08-01,26.0,7.0,12.0
2018-19,Spain,Marcos Alonso,3,DF,31,2.0,2,,0.0,,1,0.0,,,4.0,2.0,1990-12-28,0,2018-08-01,27.0,7.0,4.0
2018-19,Germany,Antonio Rüdiger,2,DF,33,1.0,2,,0.0,,4,0.0,,,4.0,0.0,1993-03-03,0,2018-08-01,25.0,4.0,29.0
2018-19,Spain,Kepa Arrizabalaga,1,GK,36,0.0,1,,0.0,,4,0.0,,,13.0,0.0,1994-10-03,0,2018-08-01,23.0,9.0,29.0
2018-19,Italy,Davide Zappacosta,21,DF,1,0.0,2,,0.0,,1,0.0,,,10.0,0.0,1992-06-11,3,2018-08-01,26.0,1.0,21.0
2018-19,Spain,Cesc Fàbregas,4,MF,1,0.0,1,,0.0,,3,1.0,,,5.0,0.0,1987-05-04,5,2018-08-01,31.0,2.0,28.0
2019-20,England,Marc Guehi,44,DF,0,0.0,0,,0.0,,2,0.0,0.0,0.0,,,2000-07-13,0,2019-08-01,19.0,0.0,19.0
2019-20,Spain,Kepa Arrizabalaga,1,GK,25,0.0,1,,0.0,,0,0.0,6.0,0.0,,,1994-10-03,0,2019-08-01,24.0,9.0,29.0
2019-20,Brazil,Kenedy,16,MF,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1996-02-08,0,2019-08-01,23.0,5.0,24.0
2019-20,Italy,Davide Zappacosta,21,DF,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1992-06-11,0,2019-08-01,27.0,1.0,21.0
2019-20,Netherlands,Ian Maatsen,63,DF,0,0.0,0,,0.0,,1,0.0,0.0,0.0,,,2002-03-10,0,2019-08-01,17.0,4.0,22.0
2019-20,Albania,Armando Broja,57,FW,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,2001-09-10,1,2019-08-01,17.0,10.0,22.0
2019-20,England,Tino Anjorin,55,MF,0,0.0,0,,0.0,,1,0.0,0.0,0.0,,,2001-11-23,1,2019-08-01,17.0,8.0,9.0
2019-20,Scotland,Billy Gilmour,47,MF,1,0.0,2,,0.0,,2,0.0,0.0,0.0,,,2001-06-11,2,2019-08-01,18.0,1.0,21.0
2019-20,Italy,Emerson,33,DF,13,0.0,1,,0.0,,0,0.0,2.0,0.0,,,1994-08-03,1,2019-08-01,24.0,11.0,29.0
2019-20,England,Fikayo Tomori,29,DF,15,1.0,2,,1.0,,0,0.0,4.0,0.0,,,1997-12-19,0,2019-08-01,21.0,7.0,13.0
2019-20,Spain,César Azpilicueta,28,DF,27,2.0,2,,0.0,,0,0.0,7.0,2.0,,,1989-08-28,0,2019-08-01,29.0,11.0,4.0
2019-20,England,Reece James,24,DF,11,0.0,2,,0.0,,2,1.0,5.0,1.0,,,1999-12-08,6,2019-08-01,19.0,7.0,24.0
2019-20,Belgium,Michy Batshuayi,23,FW,1,1.0,2,,1.0,,2,3.0,4.0,1.0,,,1993-10-02,15,2019-08-01,25.0,9.0,30.0
2019-20,UnitedStates,Christian Pulisic,22,MF,12,5.0,0,,0.0,,2,0.0,4.0,1.0,,,1998-09-18,4,2019-08-01,20.0,10.0,14.0
2019-20,England,Callum Hudson-Odoi,20,MF,7,1.0,2,,1.0,,2,1.0,4.0,0.0,,,2000-11-07,10,2019-08-01,18.0,8.0,25.0
2019-20,England,Tariq Lamptey,48,DF,0,0.0,2,,0.0,,0,0.0,0.0,0.0,,,2000-09-30,1,2019-08-01,18.0,10.0,2.0
2019-20,England,Mason Mount,19,MF,25,6.0,3,,0.0,,1,0.0,7.0,0.0,,,1999-01-10,4,2019-08-01,20.0,6.0,22.0
2019-20,Croatia,Mateo Kovačić,17,MF,18,1.0,3,,0.0,,1,0.0,7.0,1.0,,,1994-05-06,7,2019-08-01,25.0,2.0,26.0
2019-20,France,Kurt Zouma,15,DF,19,0.0,2,,0.0,,2,1.0,6.0,0.0,,,1994-10-27,3,2019-08-01,24.0,9.0,5.0
2019-20,Argentina,Willy Caballero,13,GK,4,0.0,2,,0.0,,2,0.0,1.0,0.0,,,1981-09-28,0,2019-08-01,37.0,10.0,4.0
2019-20,England,Ruben Loftus-Cheek,12,MF,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1996-01-23,0,2019-08-01,23.0,6.0,9.0
2019-20,Spain,Pedro,11,MF,8,1.0,3,,0.0,,2,1.0,3.0,0.0,,,1987-07-28,1,2019-08-01,32.0,0.0,4.0
2019-20,Brazil,Willian,10,MF,21,5.0,2,,1.0,,0,0.0,7.0,1.0,,,1988-08-09,7,2019-08-01,30.0,11.0,23.0
2019-20,England,Tammy Abraham,9,FW,23,13.0,0,,0.0,,1,0.0,7.0,2.0,,,1997-10-02,2,2019-08-01,21.0,9.0,30.0
2019-20,England,Ross Barkley,8,MF,8,0.0,3,,2.0,,1,1.0,2.0,0.0,,,1993-12-05,5,2019-08-01,25.0,7.0,27.0
2019-20,France,N'Golo Kanté,7,MF,16,3.0,0,,0.0,,0,0.0,3.0,0.0,,,1991-03-29,2,2019-08-01,28.0,4.0,3.0
2019-20,Italy,Jorginho,5,MF,23,4.0,2,,0.0,,1,0.0,7.0,2.0,,,1991-12-20,3,2019-08-01,27.0,7.0,12.0
2019-20,Denmark,Andreas Christensen,4,DF,15,0.0,1,,0.0,,0,0.0,3.0,0.0,,,1996-04-10,0,2019-08-01,23.0,3.0,22.0
2019-20,Spain,Marcos Alonso,3,DF,9,4.0,2,,0.0,,2,0.0,5.0,0.0,,,1990-12-28,2,2019-08-01,28.0,7.0,4.0
2019-20,Germany,Antonio Rüdiger,2,DF,13,2.0,1,,0.0,,0,0.0,2.0,0.0,,,1993-03-03,0,2019-08-01,26.0,4.0,29.0
2019-20,France,Olivier Giroud,18,FW,5,2.0,1,,0.0,,0,0.0,2.0,0.0,,,1986-09-30,4,2019-08-01,32.0,10.0,2.0
2019-20,England,Jamie Cumming,31,GK,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,,0,2019-08-01,,,
